"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Deve atribuir a categoria ""Padrão"" para pagamentos menores de 100.00","Testes do Módulo de Pagamento de Boleto","2026-08-02","passed","2026-08-02","","","",""
"","1","Deve atribuir a categoria ""Caro"" para pagamentos acima de 100.00","Testes do Módulo de Pagamento de Boleto","2026-08-02","passed","2026-08-02","","Testes da função ServicoDePagamentoDeBoleto","",""
