"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Deve atribuir a categoria ""Padrão"" para pagamentos menores de 100.00","Testes do Módulo de Pagamento de Boleto","2026-06-18","passed","2026-06-18","","","",""
"","1","Deve atribuir a categoria ""Caro"" para pagamentos acima de 100.00","Testes do Módulo de Pagamento de Boleto","2026-06-18","passed","2026-06-18","","Testes da função ServicoDePagamentoDeBoleto","",""
